"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Austin Dean","MIA","23","0.0%","39.1%","0.00",".227",".217",".455",".672",".227","2.6",".308","0.1","0.0","0.0","2","-1.1",".266","64","18288"
"Wilson Ramos","NYM","99","8.1%","15.2%","0.53",".247",".313",".303",".617",".056","1.9",".284","-0.7","-0.4","-0.1","8","-4.7",".266","66","1433"
"Tyler Wade","NYY","52","13.5%","34.6%","0.39",".227",".333",".227",".561",".000","6.8",".385","0.3","0.3","1.0","4","-2.5",".265","62","15730"
"Steven Duggar","SFG","117","5.1%","29.9%","0.17",".222",".265",".361",".626",".139","2.3",".292","0.0","0.3","-0.7","9","-5.5",".265","63","17719"
"Billy McKinney","TOR","92","5.4%","20.7%","0.26",".229",".278",".337",".615",".108","2.0",".281","-0.2","0.4","0.0","7","-4.4",".265","62","15654"
"Justin Bour","LAA","91","11.0%","27.5%","0.40",".175",".275",".325",".600",".150","0.7",".212","-0.4","-0.2","0.0","7","-4.4",".264","60","9744"
"Jordan Luplow","CLE","21","14.3%","42.9%","0.33",".222",".333",".222",".556",".000","4.9",".444","0.1","0.0","0.2","2","-1.0",".264","60","16424"
"A.J. Pollock","LAD","115","7.8%","20.0%","0.39",".223",".287",".330",".617",".107","4.3",".263","0.4","0.1","-0.5","9","-5.6",".264","62","9256"
"Aledmys Diaz","HOU","41","2.4%","14.6%","0.17",".205",".220",".436",".655",".231","4.7",".188","0.0","-0.2","0.0","3","-2.0",".263","62","15937"
"Evan Longoria","SFG","109","3.7%","21.1%","0.17",".212",".248",".375",".623",".163","4.8",".244","0.0","-0.2","0.2","8","-5.5",".262","61","9368"
"Mike Freeman","CLE","19","15.8%","31.6%","0.50",".214",".333",".214",".548",".000","0.6",".333","0.2","0.1","0.0","1","-1.0",".260","58","11241"
"Billy Hamilton","KCR","84","10.7%","22.6%","0.47",".216",".298",".284",".581",".068","8.9",".286","0.5","0.4","0.2","6","-4.4",".259","55","10199"
"Dustin Peterson","DET","47","4.3%","29.8%","0.14",".227",".277",".318",".595",".091","4.2",".333","-0.9","0.0","0.2","3","-2.5",".259","57","15189"
"Yolmer Sanchez","CHW","72","9.7%","26.4%","0.37",".234",".306",".266",".571",".031","2.9",".326","0.3","0.1","-0.3","5","-3.9",".258","57","11602"
"Isiah Kiner-Falefa","TEX","59","11.9%","25.4%","0.47",".200",".310",".240",".550",".040","4.7",".286","0.4","-0.4","0.2","4","-3.2",".258","47","16512"
"Ehire Adrianza","MIN","42","7.1%","14.3%","0.50",".176",".293",".265",".557",".088","2.6",".179","0.0","0.1","0.0","3","-2.3",".256","55","8418"
"Jason Martin","PIT","38","7.9%","26.3%","0.30",".229",".289",".286",".575",".057","5.2",".320","1.0","0.1","0.4","3","-2.1",".256","55","16429"
"Noah Syndergaard","NYM","14","14.3%","57.1%","0.25",".091",".231",".364",".594",".273","2.6",".000","","","0.0","1","-0.8",".255","60","11762"
"Chris Davis","BAL","75","8.0%","37.3%","0.21",".176",".253",".353",".606",".176","0.8",".243","0.0","0.0","0.0","5","-4.2",".255","52","9272"
"Greg Bird","NYY","41","14.6%","39.0%","0.38",".171",".293",".257",".550",".086","2.4",".278","0.3","0.0","0.0","3","-2.3",".254","55","14131"
"Austin Hedges","SDP","68","4.4%","25.0%","0.18",".175",".235",".381",".616",".206","0.1",".167","-0.2","0.2","0.0","5","-3.9",".254","56","12976"
"Austin Romine","NYY","47","2.1%","21.3%","0.10",".244",".261",".333",".594",".089","1.8",".294","-0.2","-0.2","0.0","3","-2.7",".254","54","5491"
"Ian Desmond","COL","98","5.1%","26.5%","0.19",".196",".235",".370",".604",".174","1.4",".234","0.1","-0.3","0.0","7","-5.7",".252","38","6885"
"Nicky Delmonico","CHW","11","9.1%","27.3%","0.33",".200",".273",".300",".573",".100","1.6",".286","0.0","0.0","0.0","1","-0.6",".252","53","13157"
"Yairo Munoz","STL","11","9.1%","18.2%","0.50",".200",".273",".300",".573",".100","2.6",".250","0.0","0.0","0.0","1","-0.6",".252","55","16313"
"Drew Butera","COL","17","5.9%","17.6%","0.33",".200",".250",".333",".583",".133","2.6",".250","-0.1","-0.1","0.0","1","-1.0",".250","37","3411"
"Kevin Pillar","- - -","111","3.6%","17.1%","0.21",".204",".234",".379",".613",".175","5.5",".195","0.9","0.0","0.6","7","-6.8",".249","52","12434"
"Willy Adames","TBR","98","7.1%","29.6%","0.24",".200",".265",".300",".565",".100","6.8",".283","0.3","0.1","0.2","6","-6.1",".248","55","15986"
"Jose Ramirez","CLE","121","10.7%","14.0%","0.76",".181",".281",".276",".557",".095","6.3",".195","0.6","0.2","1.7","8","-7.5",".248","50","13510"
"Joe Panik","SFG","94","8.5%","11.7%","0.73",".202",".277",".274",".550",".071","1.5",".219","-0.6","0.1","-0.5","6","-6.0",".246","51","11936"
"Jung Ho Kang","PIT","81","7.4%","34.6%","0.21",".160",".222",".360",".582",".200","0.1",".186","-0.4","0.0","0.0","5","-5.2",".246","48","17182"
"Blake Swihart","- - -","42","7.1%","28.6%","0.25",".184",".262",".289",".551",".105","2.3",".240","0.2","0.1","0.0","3","-2.7",".245","44","13176"
"Nick Williams","PHI","40","5.0%","30.0%","0.17",".167",".250",".306",".556",".139","1.3",".217","0.2","0.0","0.0","2","-2.6",".245","45","14330"
"Jake Cave","MIN","38","10.5%","23.7%","0.44",".206",".289",".235",".525",".029","0.1",".280","0.2","0.0","0.0","2","-2.6",".242","45","14477"
"Yasiel Puig","CIN","106","4.7%","25.5%","0.19",".192",".226",".354",".580",".162","3.8",".214","-0.1","0.1","0.1","6","-7.1",".242","40","14225"
"Scott Schebler","CIN","88","15.9%","29.5%","0.54",".135",".273",".243",".516",".108","2.7",".174","-0.1","-0.6","-0.5","5","-6.0",".241","39","12225"
"Daniel Robertson","TBR","88","11.4%","28.4%","0.40",".179",".273",".256",".529",".077","3.4",".250","-0.3","-0.6","0.2","5","-6.0",".241","50","14145"
"Erik Gonzalez","PIT","59","10.2%","22.0%","0.46",".216",".298",".294",".592",".078","6.7",".289","0.1","-0.3","0.6","3","-4.0",".241","45","13369"
"Jesus Aguilar","MIL","92","9.8%","22.8%","0.43",".163",".244",".300",".544",".138","1.2",".175","0.1","-0.4","0.0","5","-6.5",".238","41","11342"
"Kendrys Morales","OAK","88","12.5%","14.8%","0.85",".162",".284",".216",".500",".054","0.7",".180","-0.3","-0.1","-0.1","5","-6.3",".237","46","8610"
"Jacob Stallings","PIT","11","0.0%","27.3%","0.00",".273",".273",".273",".545",".000","1.6",".375","0.0","0.0","0.0","1","-0.8",".237","42","13723"
"Erik Kratz","SFG","34","5.9%","14.7%","0.40",".133",".235",".300",".535",".167","0.1",".125","-0.5","0.1","0.0","2","-2.4",".237","45","4403"
"Manny Pina","MIL","31","9.7%","25.8%","0.38",".154",".290",".192",".483",".038","0.4",".222","-0.1","0.2","0.0","2","-2.2",".237","40","2829"
"Carson Kelly","ARI","53","1.9%","24.5%","0.08",".196",".226",".333",".560",".137","1.2",".263","-0.1","-0.2","0.0","3","-3.8",".237","39","13620"
"Chris Taylor","LAD","80","10.0%","26.3%","0.38",".171",".263",".257",".520",".086","2.9",".224","0.1","0.1","0.2","4","-5.9",".235","43","13757"
"Lourdes Gurriel Jr.","TOR","44","6.8%","27.3%","0.25",".175",".250",".275",".525",".100","3.1",".250","0.1","0.1","-0.3","2","-3.3",".233","40","19238"
"Stevie Wilkerson","BAL","21","0.0%","38.1%","0.00",".190",".190",".381",".571",".190","6.4",".250","0.0","0.0","0.2","1","-1.6",".233","38","16041"
"Sandy Leon","BOS","15","6.7%","20.0%","0.33",".154",".267",".231",".497",".077","2.6",".200","-0.1","0.1","0.0","1","-1.1",".233","35","5273"
"Jason Kipnis","CLE","50","10.0%","16.0%","0.63",".200",".280",".222",".502",".022","3.2",".243","-0.1","0.0","0.2","3","-3.8",".232","39","9776"
"Danny Jansen","TOR","75","9.3%","28.0%","0.33",".182",".267",".242",".509",".061","1.2",".261","-0.1","0.1","0.0","4","-5.7",".232","39","16535"
"Martin Maldonado","KCR","83","7.2%","18.1%","0.40",".176",".256",".257",".513",".081","1.9",".207","-0.4","-0.4","0.0","4","-6.3",".232","37","6887"
"Jesus Sucre","BAL","67","6.0%","19.4%","0.31",".210",".269",".242",".511",".032","0.6",".265","-0.3","-0.1","0.0","3","-5.1",".231","36","5942"
"Gerardo Parra","SFG","96","8.3%","18.8%","0.44",".188",".271",".259",".530",".071","3.7",".224","-0.2","0.7","-0.1","5","-7.5",".230","40","8553"
"Jose Peraza","CIN","92","2.2%","20.7%","0.11",".202",".228",".303",".532",".101","5.5",".235","0.2","-0.1","0.3","4","-7.3",".228","30","13593"
"Mallex Smith","SEA","110","10.0%","30.0%","0.33",".165",".255",".247",".502",".082","9.4",".234","0.6","0.1","1.1","5","-8.8",".227","40","13608"
"Ildemaro Vargas","ARI","40","0.0%","17.5%","0.00",".200",".200",".350",".550",".150","6.4",".219","0.0","-0.1","0.2","2","-3.2",".227","33","13324"
"Lewis Brinson","MIA","82","2.4%","34.1%","0.07",".197",".247",".263",".510",".066","1.9",".313","0.0","-0.3","-0.5","4","-6.6",".226","38","14352"
"Adam Engel","CHW","45","6.7%","37.8%","0.18",".171",".227",".293",".520",".122","2.8",".261","0.4","0.1","-0.5","2","-3.7",".226","35","15082"
"Brandon Crawford","SFG","112","8.9%","25.9%","0.34",".198",".277",".218",".495",".020","1.7",".278","-0.2","0.1","-0.3","5","-9.2",".225","37","5343"
"Marwin Gonzalez","MIN","86","9.3%","24.4%","0.38",".167",".244",".256",".501",".090","2.8",".200","0.0","0.0","0.2","4","-7.1",".225","34","5497"
"Francisco Cervelli","PIT","88","6.8%","27.3%","0.25",".175",".250",".238",".488",".063","2.1",".236","0.1","-0.5","0.0","4","-7.5",".222","32","5275"
"Christian Arroyo","TBR","15","6.7%","66.7%","0.10",".214",".267",".214",".481",".000","0.1",".750","-0.1","0.1","0.0","1","-1.3",".220","36","16434"
"Jameson Taillon","PIT","11","0.0%","27.3%","0.00",".250",".250",".250",".500",".000","0.1",".400","","","0.0","0","-1.0",".217","29","11674"
"Jurickson Profar","OAK","112","6.3%","14.3%","0.44",".165",".223",".272",".495",".107","6.7",".174","0.2","0.0","0.6","4","-10.1",".216","32","10815"
"Chris Owings","KCR","104","7.7%","32.7%","0.24",".156",".221",".271",".492",".115","6.7",".217","-0.1","0.4","0.3","4","-9.4",".215","26","10030"
"Phil Gosselin","PHI","22","0.0%","22.7%","0.00",".227",".227",".273",".500",".045","0.8",".294","0.2","0.0","0.0","1","-2.0",".213","25","10953"
"Luke Maile","TOR","38","7.9%","28.9%","0.27",".147",".216",".265",".481",".118","1.3",".182","0.3","0.1","0.0","1","-3.6",".212","26","13355"
"Jeff Mathis","TEX","51","7.8%","27.5%","0.29",".170",".235",".234",".469",".064","2.6",".219","-0.2","0.0","0.0","2","-4.8",".212","16","3448"
"Caleb Joseph","ARI","14","0.0%","14.3%","0.00",".214",".214",".286",".500",".071","2.6",".250","0.0","0.0","0.0","0","-1.3",".211","22","7087"
"Rougned Odor","TEX","69","8.7%","37.7%","0.23",".145",".232",".226",".458",".081","4.8",".229","0.2","0.3","-0.9","2","-6.6",".209","15","12282"
"Richie Martin","BAL","74","8.1%","33.8%","0.24",".164",".243",".209",".452",".045","6.3",".262","-0.6","0.0","0.2","2","-7.1",".209","21","17736"
"Matt Kemp","CIN","62","1.6%","30.6%","0.05",".200",".210",".283",".493",".083","1.1",".268","0.1","-0.4","0.0","2","-6.0",".208","17","5631"
"Kyle Higashioka","NYY","16","0.0%","37.5%","0.00",".200",".188",".333",".521",".133","2.6",".300","0.2","0.0","0.0","0","-1.6",".206","22","5517"
"Joey Wendle","TBR","25","0.0%","24.0%","0.00",".136",".240",".182",".422",".045","0.1",".188","0.1","0.0","0.0","1","-2.5",".205","26","13853"
"Jon Berti","MIA","23","13.0%","30.4%","0.43",".158",".261",".158",".419",".000","2.6",".231","0.3","0.1","0.0","1","-2.3",".203","24","12037"
"Kenta Maeda","LAD","15","0.0%","20.0%","0.00",".167",".167",".333",".500",".167","2.6",".222","","","0.0","0","-1.5",".203","22","18498"
"JT Riddle","MIA","32","0.0%","34.4%","0.00",".156",".156",".344",".500",".188","1.6",".158","0.0","-0.1","0.0","1","-3.2",".203","23","17642"
"Ian Kinsler","SDP","91","8.8%","18.7%","0.47",".133",".209",".241",".450",".108","2.9",".141","-0.5","-0.1","-0.7","2","-9.4",".201","21","6195"
"Dereck Rodriguez","SFG","13","0.0%","53.8%","0.00",".231",".231",".231",".462",".000","1.6",".500","","","0.0","0","-1.3",".201","21","14509"
"Garrett Hampson","COL","81","2.5%","27.2%","0.09",".182",".200",".273",".473",".091","6.1",".236","0.5","0.2","-0.3","2","-8.4",".200","4","19262"
"Nick Hundley","OAK","44","2.3%","20.5%","0.11",".190",".227",".214",".442",".024","1.3",".242","-0.2","-0.8","-0.5","1","-4.6",".198","20","3376"
"Josh Harrison","DET","99","5.1%","19.2%","0.26",".156",".212",".233",".445",".078","3.8",".181","-0.9","0.5","-0.5","2","-10.5",".197","15","8202"
"JaCoby Jones","DET","56","3.6%","33.9%","0.11",".137",".214",".216",".430",".078","4.9",".194","0.1","0.0","0.2","1","-5.9",".197","15","14818"
"Luke Weaver","ARI","10","0.0%","60.0%","0.00",".100",".100",".400",".500",".300","0.1",".000","","","0.0","0","-1.1",".194","11","16918"
"Isaac Galloway","MIA","38","0.0%","15.8%","0.00",".211",".211",".237",".447",".026","6.9",".250","0.1","0.2","0.4","1","-4.2",".192","16","5238"
"Luis Urias","SDP","29","13.8%","37.9%","0.36",".083",".241",".125",".366",".042","1.6",".154","0.0","-0.1","0.0","0","-3.2",".192","15","16622"
"Peter O'Brien","MIA","30","10.0%","46.7%","0.21",".111",".200",".222",".422",".111","0.1",".167","0.3","-0.1","0.0","0","-3.3",".192","16","13288"
"Max Moroff","CLE","34","5.9%","47.1%","0.13",".129",".182",".258",".440",".129","5.8",".214","0.4","0.3","0.2","0","-3.8",".190","10","14556"
"Francisco Mejia","SDP","44","4.5%","27.3%","0.17",".146",".205",".220",".424",".073","1.1",".207","0.0","-0.1","0.0","1","-4.9",".190","14","16403"
"Jackie Bradley Jr.","BOS","99","9.1%","30.3%","0.30",".148",".224",".182",".406",".034","4.4",".220","0.0","0.3","0.6","1","-11.2",".189","5","12984"
"Miguel Andujar","NYY","14","0.0%","14.3%","0.00",".231",".214",".231",".445",".000","1.6",".250","0.0","-0.2","0.0","0","-1.6",".186","9","15878"
"Alen Hanson","TOR","45","6.7%","35.6%","0.19",".175",".244",".175",".419",".000","5.6",".280","0.0","0.2","0.2","0","-5.2",".186","8","12926"
"Rosell Herrera","MIA","58","5.2%","19.0%","0.27",".148",".207",".185",".392",".037","5.5",".186","0.3","0.0","0.1","0","-7.0",".180","8","11611"
"Keon Broxton","NYM","45","8.9%","42.2%","0.21",".146",".222",".146",".369",".000","6.2",".273","0.2","0.0","0.3","0","-5.5",".177","8","9253"
"Walker Buehler","LAD","12","0.0%","41.7%","0.00",".091",".091",".364",".455",".273","0.1",".000","","","0.0","0","-1.5",".176","4","19374"
"Luis Guillorme","NYM","19","5.3%","31.6%","0.17",".167",".211",".167",".377",".000","2.6",".250","0.1","0.0","0.0","0","-2.4",".174","6","16451"
"Patrick Wisdom","TEX","28","3.6%","53.6%","0.07",".154",".185",".192",".377",".038","0.8",".364","-0.1","0.1","0.0","0","-3.7",".167","-14","13602"
"Pablo Reyes","PIT","39","7.7%","35.9%","0.21",".139",".205",".139",".344",".000","2.6",".227","0.4","0.1","0.0","0","-5.2",".165","-5","16357"
"Tzu-Wei Lin","BOS","17","5.9%","29.4%","0.20",".125",".176",".188",".364",".063","7.5",".182","0.0","0.2","0.2","0","-2.3",".163","-12","14678"
"Cedric Mullins II","BAL","74","5.4%","18.9%","0.29",".094",".181",".156",".337",".063","7.9",".118","0.5","-0.2","0.2","-1","-10.3",".159","-12","17929"
"Stephen Strasburg","WSN","12","8.3%","33.3%","0.25",".091",".167",".182",".348",".091","0.1",".143","","","0.0","0","-1.7",".159","-11","10131"
"Eduardo Nunez","BOS","46","2.2%","17.4%","0.13",".159",".178",".182",".360",".023","5.8",".194","-0.3","-0.1","0.1","-1","-6.4",".158","-16","6848"
"Miles Mikolas","STL","12","0.0%","41.7%","0.00",".182",".182",".182",".364",".000","0.1",".333","","","0.0","0","-1.7",".158","-6","9803"
"Pat Valaika","COL","31","12.9%","41.9%","0.31",".074",".194",".111",".305",".037","2.6",".143","0.1","0.1","0.0","0","-4.4",".156","-25","14885"
"Brock Holt","BOS","19","10.5%","36.8%","0.29",".063",".211",".063",".273",".000","0.1",".111","-0.1","0.0","0.0","0","-2.7",".156","-17","9345"
"Trevor Williams","PIT","11","9.1%","36.4%","0.25",".111",".200",".111",".311",".000","0.1",".200","","","0.0","0","-1.6",".156","-11","16977"
"Cam Gallagher","KCR","27","3.7%","11.1%","0.33",".154",".185",".154",".339",".000","2.0",".174","-0.4","-0.1","0.0","0","-3.9",".154","-16","12981"
"Hyun-Jin Ryu","LAD","11","18.2%","45.5%","0.40",".000",".222",".000",".222",".000","2.6",".000","","","0.0","0","-1.6",".153","-11","14444"
"Socrates Brito","TOR","34","11.8%","41.2%","0.29",".067",".176",".133",".310",".067","5.1",".125","-0.1","-0.2","0.0","-1","-4.9",".152","-15","12944"
"Greg Allen","CLE","42","4.8%","33.3%","0.14",".105",".167",".158",".325",".053","2.6",".160","-0.1","0.1","0.0","-1","-6.2",".149","-17","16623"
"Roman Quinn","PHI","27","7.4%","51.9%","0.14",".120",".185",".120",".305",".000","0.8",".273","0.1","0.1","0.0","-1","-4.0",".148","-18","13546"
"Max Stassi","HOU","30","3.3%","36.7%","0.09",".103",".133",".207",".340",".103","0.1",".118","-0.5","0.1","0.0","-1","-4.5",".146","-17","10059"
"Adam Wainwright","STL","12","8.3%","50.0%","0.17",".100",".182",".100",".282",".000","0.1",".250","","","0.0","0","-1.8",".142","-17","2233"
"Jedd Gyorko","STL","22","9.1%","45.5%","0.20",".100",".182",".100",".282",".000","2.6",".200","-0.2","0.1","0.0","-1","-3.4",".142","-17","10816"
"Kyle Hendricks","CHC","11","9.1%","54.5%","0.17",".100",".182",".100",".282",".000","2.6",".250","","","0.0","0","-1.7",".142","-22","12049"
"Ross Stripling","LAD","13","7.7%","30.8%","0.25",".100",".182",".100",".282",".000","2.6",".167","","","0.0","0","-2.0",".142","-18","13273"
"Steve Pearce","BOS","43","4.7%","39.5%","0.12",".103",".167",".128",".295",".026","1.6",".182","0.0","-0.3","0.0","-1","-6.6",".141","-27","9957"
"Aaron Nola","PHI","11","18.2%","36.4%","0.50",".000",".200",".000",".200",".000","2.6",".000","","","0.0","0","-1.7",".138","-25","16149"
"Daniel Palka","CHW","42","14.3%","35.7%","0.40",".029",".190",".029",".219",".000","0.1",".050","0.1","-0.1","0.0","-1","-6.7",".136","-25","14897"
"Zack Cozart","LAA","70","2.9%","18.6%","0.15",".109",".157",".125",".282",".016","0.9",".132","-0.1","0.2","0.0","-3","-11.4",".132","-29","2616"
"Elias Diaz","PIT","16","0.0%","12.5%","0.00",".125",".125",".188",".313",".063","2.6",".143","0.0","0.0","0.0","-1","-2.6",".130","-28","11680"
"Travis d'Arnaud","NYM","25","8.0%","20.0%","0.40",".087",".160",".087",".247",".000","2.6",".111","-0.7","0.0","0.0","-1","-4.2",".125","-26","7739"
"Rocky Gale","LAD","14","0.0%","50.0%","0.00",".143",".143",".143",".286",".000","2.6",".286","-0.1","-0.2","0.0","-1","-2.4",".124","-30","10533"
"Zach Davies","MIL","13","7.7%","53.8%","0.14",".083",".154",".083",".237",".000","0.1",".200","","","0.0","-1","-2.2",".120","-37","13183"
"Eric Stamets","CLE","48","10.4%","50.0%","0.21",".049",".149",".073",".222",".024","2.6",".111","-0.1","-0.4","0.0","-2","-8.4",".118","-39","13795"
"Dustin Pedroia","BOS","21","4.8%","9.5%","0.50",".100",".143",".100",".243",".000","1.6",".111","0.3","-0.4","0.0","-1","-3.7",".116","-44","8370"
"Max Scherzer","WSN","16","0.0%","50.0%","0.00",".125",".125",".125",".250",".000","2.6",".250","","","0.0","-1","-2.9",".109","-44","3137"
"Jack Flaherty","STL","11","0.0%","9.1%","0.00",".125",".125",".125",".250",".000","2.6",".143","","","0.0","-1","-2.0",".109","-39","17479"
"Peter Bourjos","LAA","46","2.2%","32.6%","0.07",".091",".109",".114",".222",".023","7.4",".133","-0.1","0.2","0.4","-3","-8.8",".098","-52","2578"
"Connor Joe","SFG","16","6.3%","31.3%","0.20",".067",".125",".067",".192",".000","2.6",".100","0.1","-0.1","0.0","-1","-3.1",".097","-47","16572"
"Derek Holland","SFG","10","0.0%","60.0%","0.00",".111",".111",".111",".222",".000","0.1",".333","","","0.0","-1","-1.9",".097","-47","4141"
"Chris Archer","PIT","10","0.0%","50.0%","0.00",".111",".111",".111",".222",".000","0.1",".250","","","0.0","-1","-1.9",".097","-50","6345"
"Steven Matz","NYM","10","0.0%","30.0%","0.00",".111",".111",".111",".222",".000","0.1",".167","","","0.0","-1","-1.9",".097","-44","13361"
"Caleb Smith","MIA","10","0.0%","40.0%","0.00",".111",".111",".111",".222",".000","0.1",".200","","","0.0","-1","-1.9",".097","-46","14875"
"Joshua Fuentes","COL","18","0.0%","44.4%","0.00",".111",".111",".111",".222",".000","2.6",".200","0.1","0.0","0.0","-1","-3.5",".097","-64","16885"
"Tanner Roark","CIN","10","0.0%","40.0%","0.00",".100",".100",".100",".200",".000","0.1",".167","","","0.0","-1","-2.0",".087","-62","8753"
"Trevor Richards","MIA","10","0.0%","60.0%","0.00",".100",".100",".100",".200",".000","0.1",".250","","","0.0","-1","-2.0",".087","-53","19309"
"Zach Eflin","PHI","11","0.0%","72.7%","0.00",".091",".091",".091",".182",".000","0.1",".333","","","0.0","-1","-2.3",".079","-63","13774"
"Kevin Gausman","ATL","11","0.0%","81.8%","0.00",".091",".091",".091",".182",".000","0.1",".500","","","0.0","-1","-2.3",".079","-64","14107"
"Merrill Kelly","ARI","11","9.1%","18.2%","0.50",".000",".111",".000",".111",".000","2.6",".000","","","0.0","-1","-2.3",".077","-66","11156"
"Joe Musgrove","PIT","10","10.0%","60.0%","0.17",".000",".111",".000",".111",".000","0.1",".000","","","0.0","-1","-2.1",".077","-63","12970"
"Anibal Sanchez","WSN","12","0.0%","50.0%","0.00",".083",".083",".083",".167",".000","0.1",".167","","","0.0","-1","-2.6",".072","-68","3284"
"Jose Quintana","CHC","12","0.0%","66.7%","0.00",".083",".083",".083",".167",".000","2.6",".250","","","0.0","-1","-2.6",".072","-67","11423"
"Jon Gray","COL","14","0.0%","57.1%","0.00",".083",".083",".083",".167",".000","0.1",".250","","","0.0","-1","-3.0",".072","-79","14916"
"Aaron Altherr","PHI","28","3.6%","28.6%","0.13",".037",".071",".074",".146",".037","2.6",".053","0.0","-0.2","0.0","-3","-6.1",".068","-71","11270"
"Jake Arrieta","PHI","15","0.0%","33.3%","0.00",".077",".077",".077",".154",".000","2.6",".125","","","0.0","-1","-3.3",".067","-71","4153"
"German Marquez","COL","14","0.0%","28.6%","0.00",".077",".077",".077",".154",".000","0.1",".111","","","0.0","-1","-3.1",".067","-83","15038"
"Luis Castillo","CIN","15","0.0%","53.3%","0.00",".071",".071",".071",".143",".000","2.6",".167","","","0.0","-1","-3.3",".062","-78","15689"
"Frank Schwindel","KCR","15","0.0%","13.3%","0.00",".067",".067",".067",".133",".000","0.1",".077","0.0","0.0","0.0","-2","-3.4",".058","-81","15351"
"Yonathan Daza","COL","12","8.3%","33.3%","0.25",".000",".083",".000",".083",".000","0.1",".000","0.0","0.0","0.0","-1","-2.7",".058","-89","15794"
"Mikie Mahtook","DET","25","8.0%","44.0%","0.18",".000",".080",".000",".080",".000","0.1",".000","-0.1","0.1","0.0","-3","-5.7",".055","-81","13130"
"Cole Hamels","CHC","10","0.0%","10.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","4972"
"Julio Teheran","ATL","13","0.0%","46.2%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-3.6",".000","-100","6797"
"Robbie Ray","ARI","12","0.0%","58.3%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-3.3",".000","-100","11486"
"Yu Darvish","CHC","10","0.0%","70.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","13074"
"Michael Wacha","STL","10","0.0%","60.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","14078"
"Alex Jackson","ATL","11","9.1%","27.3%","0.33",".000",".091",".000",".091",".000","0.1",".000","0.0","-0.1","0.0","-2","-3.0",".000","-100","17276"
"Dakota Hudson","STL","10","0.0%","20.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","19206"
"Joey Lucchesi","SDP","10","0.0%","70.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","19320"
"Chris Paddack","SDP","10","0.0%","60.0%","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-2","-2.8",".000","-100","20099"
